LemonEntry,partOfSpeech,writtenForm,comparative,superlative_singular,superlative_plural,SyntacticFrame,predFrame,sense,reference,oils:boundTo,oils:degree,domain,range,preposition
High_1,adjective,alto,più alto,il più alto,il più alto,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:strong,dbo:Place,dbo:Mountain,in
High_2,adjective,alto,più alto,il più alto,il più alto,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,dbo:Place,dbo:Lighthouse,in
Tall_1,adjective,alta,più alta,il più alta,la più alta,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,dbo:Place,dbo:Tower,in
Large_1,adjective,grande,più grande,il più grande,il più grande,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:seatingCapacity,oils:high,dbo:Country,dbo:Stadium,in
Large_2,adjective,grande,più grande,il più grande,il più grande,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:areaTotal,oils:high,owl:Thing,dbo:Country,al
young,adjective,giovane,più giovane,il più giovane,il più giovane,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:high,owl:Thing,dbo:DartsPlayer,in
high,adjective,alto,più alto,il più alto,il più alto,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:strong,dbo:Country,dbo:Mountain,in
tall,adjective,alto,più alto,il più alto,il più alto,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:strong,dbo:Country,dbo:Building,in
big,adjective,grande,più grande,il più grande,il più grande,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:seatingCapacity,oils:high,dbo:Country,dbo:Stadium,in
large,adjective,grande,più grande,il più grande,il più grande,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:areaTotal,oils:high,dbo:Country,dbo:City,in
populous,adjective,popolosa,-,la più popolosa,la più popolosa,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:populationTotal,oils:high,dbo:Country,dbo:City,al
Small_1,adjective,piccolo,più piccolo,il più piccolo,il più piccolo,AdjectiveSuperlativeFrame,PredSynArg,1,oils:ContravariantScalar,dbo:areaTotal,oils:low,dbo:Country,dbo:City,in
Small_2,adjective,piccolo,più piccolo,il più piccolo,il più piccolo,AdjectiveSuperlativeFrame,PredSynArg,1,oils:ContravariantScalar,dbo:populationTotal,oils:low,dbo:Country,dbo:City,al
Long_1,adjective,lungo,più lungo,il più lungo,il più lungo,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:length,oils:high,dbo:Country,dbo:Bridge,in
Long_2,adjective,lungo,più lungo,il più lungo,il più lungo,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:length,oils:high,dbo:Country,dbo:River,in
tall,adjective,alto,più alto,il più alto,il più alto,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:strong,dbo:ArchitecturalStructure,xsd:double,in
tall_f,adjective,alta,più alta,la piiù alta,la piiù alta,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,dbo:Person,xsd:double,in
tall_m,adjective,alto,più alto,il più alto,il più alto,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,dbo:Person,xsd:double,in
