LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
end_career_on,verb,end his active career,ends his active career,ended his active career,ended his active career,on,IntransitivePPFrame,domain,range,1,dbo:activeYearsEndDate,dbo:Athlete,xsd:date,What dbo:Athlete(X) ends his active career on Y(xsd:date)?,Which dbo:Athlete(X) was ended his active career on Y(xsd:date)?,SELECT ?X WHERE { ?X dbo:activeYearsEndDate Y.},Which xsd:date(X) does Y(dbo:Athlete) end his active career on?,FALSE,SELECT ?X WHERE { Y dbo:activeYearsEndDate ?X.}
play_for_2,verb,play,plays,played,played,for,IntransitivePPFrame,domain,range,1,dbo:team,dbo:Person,dbo:SportsClub,,,,,,
run_through_1,verb,runs,ran,run,run,through,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Mountain,dbo:Place,,,,,,
designate_at_1,verb,designate,designates,designated,designated,at,IntransitivePPFrame,domain,range,1,dbo:year,dbo:Event,xsd:date,,,,,,
assassinate_in,verb,assassinate,assassinates,assassinated,assassinated,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Person,dbo:Place,,,,,,
originate_in_1,verb,originate,originates,originated,originated,in,IntransitivePPFrame,domain,range,1,dbo:origin,dbo:Beverage,dbo:Country,,,,,,
extend_to_1,verb,extend,extends,extended,extended,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Mountain,dbo:Country,,,,,,
admitted_as,verb,admit,admits,admitted,admitted,as,IntransitivePPFrame,domain,range,1,dbp:admittancedate,dbo:Settlement,xsd:date,,,,,,
establish_in_2,verb,establish,establishes,established,established,in,IntransitivePPFrame,domain,range,1,dbp:established,dbo:Agent,xsd:gYear,,,,,,
record_for_1,verb,record,records,recorded,recorded,for,IntransitivePPFrame,domain,range,1,dbo:releaseDate,dbo:Work,xsd:date,,,,,,
record_for_2,verb,record,records,recorded,recorded,for,IntransitivePPFrame,domain,range,1,dbo:recordLabel,dbo:Work,dbo:RecordLabel,,,,,,
founded_in_1,verb,found,founds,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:formationYear,dbo:Organisation,xsd:gYear,,,,,,
founded_in_2,verb,found,founds,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:foundingYear,dbo:Organisation,xsd:gYear,,,,,,
shot_in_1,verb,shot,shots,shot,shot,in,IntransitivePPFrame,domain,range,1,dbo:deathDate,dbo:Person,xsd:date,,,,,,
speak_in_1,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:spokenIn,dbo:Language,dbo:Place,,,,,,
start_in_2,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:River,dbo:Place,,,,,,
start_at_3,verb,start,starts,started,started,at,IntransitivePPFrame,domain,range,1,dbo:date,dbo:Event,xsd:date,,,,,,
speak_in_2,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:language,dbo:Work,dbo:Language,,,,,,
