LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition,GrammarRule 1:question1,GrammarRule 1:question2,GrammarRule 1:sparql,GrammarRule 2:question1,GrammarRule2: sparql
Develop_1,verb,develop,develops,developed,developed,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,by,"Which dbo:Company(X) develops,developedY(dbo:Company)?","Who dbo:Company(X) develops,developedY(dbo:Company)?",SELECT ?X WHERE { ?X dbo:product Y.},Which dbo:Software (X) was developed by Y(dbo:Company)?,SELECT ?X WHERE { Y dbo:Company ?X.}
Develop_2,verb,develop,develops,developed,developed,TransitiveFrame,range,domain,1,dbo:developer,dbo:VideoGame,dbo:Agent,by,"Which dbo:Agent (X) develops,developed Y(dbo:VideoGame)?",,,,
Influence_3,verb,Influence,Influences,Influenced,Influenced,TransitiveFrame,range,domain,1,dbo:influencedBy,dbo:Person,dbo:Person,by,,,,,
Possess_1,verb,poss,possess,possessed,possessed,TransitiveFrame,range,domain,1,dbp:mineral,dbo:Place,dbo:Mineral,by,,,,,
Erupt_1,verb,erupt,erupts,erupted,erupted,TransitiveFrame,domain,range,1,dbo:eruptionYear,dbo:Volcano,xsd:gYear,by,,,,,
cross,verb,cross,crosses,crossed,crossed,TransitiveFrame,domain,range,1,dbo:crosses,dbo:Bridge,dbo:River,by,,,,,
Kill_1,verb,kill,kills,killed,killed,TransitiveFrame,domain,range,1,dbp:conviction,dbo:Person,dbo:MilitaryConflict,by,,,,,
Play_1,verb,play,plays,played,played,TransitiveFrame,domain,range,1,dbo:portrayer,dbo:Agent,dbo:Work,by,,,,,
Call_1,verb,call,calls,called,called,TransitiveFrame,domain,range,1,dbp:shipNamesake,dbo:Ship,dbo:Person,by,,,,,
Play_2,verb,play,plays,played,played,TransitiveFrame,domain,range,1,dbo:instrument,dbo:Person,dbo:Company,by,,,,,
