LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range,sparql2
australian,noun,australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Australia,dbo:Film,dbo:Film,
belgian,noun,belgian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belgium,dbo:Film,dbo:Film,
greek,noun,greek,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Greece,dbo:Film,dbo:Film,
danish ,noun,danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Denmark,dbo:Film,dbo:Film,
algerian,noun,algerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Algeria,dbo:Film,dbo:Film,
andorran,noun,andorran,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Andorra,dbo:Film,dbo:Film,
aruban,noun,aruban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Aruba,dbo:Film,dbo:Film,
angolan,noun,angolan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Angola,dbo:Film,dbo:Film,
albanian,noun,albanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Albania,dbo:Film,dbo:Film,
afghan,noun,afghan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Afghanistan,dbo:Film,dbo:Film,
azerbaijani,noun,azerbaijani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Azerbaijan,dbo:Film,dbo:Film,
brazilian,noun,brazilian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Brazil,dbo:Film,dbo:Film,
bulgarian,noun,bulgarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bulgaria,dbo:Film,dbo:Film,
bahamian,noun,bahamian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:The_Bahamas,dbo:Film,dbo:Film,
barbadian,noun,barbadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Barbados,dbo:Film,dbo:Film,
bengali,noun,bengali,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bangladesh,dbo:Film,dbo:Film,
belarusian,noun,belarusian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belarus,dbo:Film,dbo:Film,
belizean,noun,belizean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belize,dbo:Film,dbo:Film,
benin,noun,benin,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Benin,dbo:Film,dbo:Film,
botswana,noun,botswana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Botswana,dbo:Film,dbo:Film,
bermudian,noun,bermudian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bermuda,dbo:Film,dbo:Film,
bolivian,noun,bolivian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bolivia,dbo:Film,dbo:Film,
colombian,noun,colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Colombia,dbo:Film,dbo:Film,
czech,noun,czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Czech_Republic,dbo:Film,dbo:Film,
female,noun,female,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:gender,res:Female,dbo:Economist,dbo:Person,
methodist,noun,methodist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:religion,res:Methodism,dbo:Economist,dbo:Person,
swiss,noun,swiss,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Switzerland,dbo:Economist,dbo:Person,
german,noun,swiss,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Germany,dbo:Economist,dbo:Person,
